"subzone_id","subzone_name","latitude","longitude"
"307","Adarsh Nagar","28.7194200000","77.1734500000"
"647","Ambience Mall","28.5040530000","77.0970480000"
"308","Ardee City","28.4397000000","77.0800740000"
"697","DLF Cyber City","28.4945870000","77.0895950000"
"297","DLF Phase 1","28.4716360000","77.0984902000"
"298","DLF Phase 2","28.4842470000","77.0871550000"
"299","DLF Phase 3","28.4909390000","77.1002870000"
"300","DLF Phase 4","28.4670360000","77.0851370000"
"301","DLF Phase 5","28.4570145000","77.0942402000"
"310","Golf Course Road","28.4497230000","77.0995410000"
"302","MG Road","28.4802110000","77.0820540000"
"498","Old Railway Road","28.4674990000","77.0208170000"
"312","Palam Vihar","28.5067310000","77.0345940000"
"228","Sadar Bazar","28.4622400000","77.0309400000"
"670","Sector 12","28.4673710000","77.0368910000"
"303","Sector 14","28.4731940000","77.0429700000"
"643","Sector 15","28.4571830000","77.0429810000"
"499","Sector 17","28.4806920000","77.0624260000"
"691","Sector 21","28.5092670000","77.0720300000"
"314","Sector 22","28.5059650000","77.0651100000"
"644","Sector 23","28.5106720000","77.0523120000"
"486","Sector 29","28.4681100000","77.0677100000"
"698","Sector 30","28.4627680000","77.0584680000"
"489","Sector 31","28.4536050000","77.0536850000"
"645","Sector 33","28.4381290000","77.0250610000"
"649","Sector 37","28.4456010000","77.9941190000"
"315","Sector 39","28.4418600000","77.0499400000"
"496","Sector 4","28.4749100000","77.0098200000"
"640","Sector 43","28.4512940000","77.0879400000"
"650","Sector 44","28.4519680000","77.0729010000"
"495","Sector 45","28.4423365000","77.0667744000"
"700","Sector 5","28.4750290000","77.0244100000"
"651","Sector 50","28.4225800000","77.0650580000"
"313","Sector 53","28.4424100000","77.1002250000"
"642","Sector 54","28.4345060000","77.1127580000"
"306","Sector 56","28.4261600000","77.0981700000"
"692","Sector 57","28.4235020000","77.0766150000"
"641","Sector 7","28.4653670000","77.0141790000"
"500","Sector 8","28.4609800000","77.0057350000"
"699","Sector 83","28.3963080000","76.9729550000"
"339","Sikandarpur","28.4816700000","77.0930800000"
"311","Sohna Road","28.4150660000","77.0410710000"
"683","South City 2","28.4179430000","77.0516220000"
"318","South City 1","28.4578950000","77.0649650000"
"305","Sushant Lok","28.4677190000","77.0796460000"
"304","Udyog Vihar","28.5084720000","77.0809890000"
